ticker,sector,month,total_trades,total_volume,avg_price,buy_volume,sell_volume
AAPL,Technology,2024-09-01,282,1358239.0600000003,197.6985460992908,698618.8899999998,659620.1700000002
GOOGL,ETF,2024-09-01,297,1103488.6699999997,146.7637037037038,525365.6700000002,578123.0
JPM,Technology,2024-09-01,305,1599699.3399999999,207.4362295081968,819741.1199999999,779958.2200000001
NVDA,Technology,2024-09-01,296,3884885.8800000004,519.0167229729726,1828454.24,2056431.6399999997
QQQ,Finance,2024-09-01,321,3491044.2499999986,434.26311526479793,1670140.8200000005,1820903.4300000004
SPY,Finance,2024-09-01,273,3445578.0599999987,494.1487179487178,1628706.9599999993,1816871.0999999996
TSLA,Finance,2024-09-01,275,1954464.0500000003,263.61309090909083,990710.9299999998,963753.1199999996
AAPL,Technology,2024-10-01,336,1679625.7299999995,194.3823214285714,837481.3399999996,842144.3900000001
GOOGL,ETF,2024-10-01,331,1209814.3199999998,147.77522658610258,664299.4900000003,545514.8299999998
JPM,Technology,2024-10-01,298,1635937.889999999,202.2850335570471,873216.59,762721.3
NVDA,Technology,2024-10-01,302,4128928.3000000007,522.0092052980132,2007602.110000001,2121326.19
QQQ,Finance,2024-10-01,289,3311153.309999999,434.47013840830425,1759922.730000001,1551230.5800000003
SPY,Finance,2024-10-01,294,3854801.409999999,493.1662244897959,1961979.7399999993,1892821.6699999992
TSLA,Finance,2024-10-01,291,1956840.7200000002,260.78738831615095,982849.9199999999,973990.8
AAPL,Technology,2024-11-01,298,1510873.840000001,194.4299328859061,690702.3000000002,820171.5399999995
GOOGL,ETF,2024-11-01,298,1129705.2900000003,146.16630872483228,625630.2100000002,504075.07999999996
JPM,Technology,2024-11-01,311,1594353.329999999,206.12524115755636,880223.3700000002,714129.9600000003
NVDA,Technology,2024-11-01,288,3906920.099999999,523.3418750000001,1934393.4899999998,1972526.609999999
QQQ,Finance,2024-11-01,275,2970977.8300000033,434.8496363636365,1535745.7200000002,1435232.11
SPY,Finance,2024-11-01,284,3656294.629999998,497.59531690140886,1825175.240000001,1831119.3900000008
TSLA,Finance,2024-11-01,279,1794470.0900000008,264.74931899641575,1055541.6800000002,738928.4100000001
AAPL,Technology,2024-12-01,312,1552191.5899999999,196.69375000000016,784109.2300000001,768082.3599999998
GOOGL,ETF,2024-12-01,314,1165565.3899999987,148.26388535031842,554797.9600000001,610767.4300000003
JPM,Technology,2024-12-01,284,1508710.6099999982,204.43943661971838,738223.6199999995,770486.9899999999
NVDA,Technology,2024-12-01,304,4074431.499999999,530.0123355263163,1997559.7800000012,2076871.7199999997
QQQ,Finance,2024-12-01,306,3386516.6899999967,426.8157189542486,1574871.99,1811644.7000000002
SPY,Finance,2024-12-01,289,3847532.070000001,497.17100346020766,1947854.3300000005,1899677.7400000012
TSLA,Finance,2024-12-01,256,1789774.4099999997,266.0760546875,812977.0799999998,976797.3300000001
AAPL,Technology,2025-01-01,308,1485622.2200000004,193.05392857142851,720841.6099999996,764780.6099999999
GOOGL,ETF,2025-01-01,282,1106243.64,148.56276595744689,465032.61000000004,641211.03
JPM,Technology,2025-01-01,316,1655655.0799999998,204.829240506329,917081.76,738573.3200000002
NVDA,Technology,2025-01-01,280,3515219.34,518.4190714285716,1640498.9800000002,1874720.3599999996
QQQ,Finance,2025-01-01,309,3242710.48,431.1291262135926,1568160.2900000007,1674550.1899999992
SPY,Finance,2025-01-01,320,3894662.669999998,493.34950000000026,1852811.6600000001,2041851.01
TSLA,Finance,2025-01-01,309,2000870.69,268.95236245954675,870528.6399999999,1130342.0500000005
AAPL,Technology,2025-02-01,268,1326454.399999999,194.17029850746275,623557.43,702896.9699999999
GOOGL,ETF,2025-02-01,293,1117125.1800000006,147.1317406143344,541372.26,575752.9199999998
JPM,Technology,2025-02-01,254,1338594.9199999997,204.85755905511803,715257.7099999997,623337.21
NVDA,Technology,2025-02-01,287,3630024.559999998,512.8999651567941,1881627.1399999992,1748397.4200000002
QQQ,Finance,2025-02-01,262,2896227.210000001,428.94763358778647,1438977.0799999994,1457250.1300000006
SPY,Finance,2025-02-01,311,3696306.819999998,488.4057877813504,1734032.1300000001,1962274.6900000013
TSLA,Finance,2025-02-01,275,1781580.7699999996,262.70614545454544,1048126.5199999998,733454.2499999997
AAPL,Technology,2025-03-01,314,1557258.7499999998,194.3428343949045,831456.7000000001,725802.05
GOOGL,ETF,2025-03-01,324,1195188.73,145.5961728395062,541017.2700000001,654171.4599999997
JPM,Technology,2025-03-01,290,1453059.6700000006,205.01465517241377,670874.6900000005,782184.9800000001
NVDA,Technology,2025-03-01,293,3935755.7899999986,529.2063139931737,2056548.67,1879207.1200000003
QQQ,Finance,2025-03-01,306,3381696.47,427.0366666666665,1791367.4199999992,1590329.0500000003
SPY,Finance,2025-03-01,303,4043613.57,497.7431683168314,2059344.7899999982,1984268.7799999996
TSLA,Finance,2025-03-01,308,2037877.58,258.90168831168836,990021.16,1047856.4199999998
AAPL,Technology,2025-04-01,295,1445005.1700000016,194.40220338983048,708399.6600000001,736605.5099999994
GOOGL,ETF,2025-04-01,335,1321677.4799999993,148.26761194029848,710542.7100000004,611134.7700000004
JPM,Technology,2025-04-01,289,1588734.4999999984,205.8625259515572,822224.5300000001,766509.9700000002
NVDA,Technology,2025-04-01,281,3556493.670000003,513.4184697508897,1747129.2699999998,1809364.3999999997
QQQ,Finance,2025-04-01,297,3329873.729999997,430.7406734006734,1736205.0100000005,1593668.7200000002
SPY,Finance,2025-04-01,285,3407192.480000002,493.39621052631554,1953035.1999999997,1454157.2799999998
TSLA,Finance,2025-04-01,322,2130332.2500000014,264.0451242236025,1142499.8599999999,987832.3899999998
AAPL,Technology,2025-05-01,326,1568576.5600000003,194.2880368098159,824556.7899999998,744019.77
GOOGL,ETF,2025-05-01,320,1141044.7800000005,146.3316875000001,556358.4700000003,584686.3100000002
JPM,Technology,2025-05-01,311,1629434.1900000002,204.77627009646298,841573.7299999999,787860.4599999995
NVDA,Technology,2025-05-01,322,4200704.1800000025,519.7401552795035,2308277.6200000015,1892426.56
QQQ,Finance,2025-05-01,295,3197557.8499999996,426.7328474576273,1576808.7100000002,1620749.14
SPY,Finance,2025-05-01,323,4299189.459999998,495.80996904024767,1842291.1300000004,2456898.330000002
TSLA,Finance,2025-05-01,317,2188338.6999999993,263.31318611987405,986646.0499999996,1201692.6500000001
AAPL,Technology,2025-06-01,281,1435337.0599999996,195.3806049822064,646888.7899999998,788448.27
GOOGL,ETF,2025-06-01,284,1015179.3699999999,148.01073943661964,508319.0599999999,506860.31
JPM,Technology,2025-06-01,277,1453970.2199999995,204.75837545126342,760362.3999999996,693607.8200000002
NVDA,Technology,2025-06-01,297,3827768.2099999986,516.8627272727272,1983524.6699999995,1844243.5399999993
QQQ,Finance,2025-06-01,294,3159524.8500000015,431.27564625850306,1456118.5000000005,1703406.3499999999
SPY,Finance,2025-06-01,277,3342071.38,490.4461010830323,1787350.5300000005,1554720.8500000008
TSLA,Finance,2025-06-01,278,1806261.21,264.20043165467615,909044.5000000001,897216.7099999998
AAPL,Technology,2025-07-01,282,1410533.0100000005,193.3364184397165,671599.2000000004,738933.81
GOOGL,ETF,2025-07-01,272,1004052.58,146.8705882352942,498778.65000000014,505273.9299999998
JPM,Technology,2025-07-01,297,1536078.8600000003,203.74898989898986,771595.93,764482.9299999998
NVDA,Technology,2025-07-01,333,4498013.869999998,520.3087087087087,2421296.9499999993,2076716.9200000002
QQQ,Finance,2025-07-01,312,3416226.0499999984,430.57769230769236,1643551.4199999995,1772674.6299999997
SPY,Finance,2025-07-01,289,3593784.520000001,492.35242214532883,1771287.8100000008,1822496.71
TSLA,Finance,2025-07-01,274,1821528.7500000016,257.2945985401458,887328.6499999996,934200.0999999997
AAPL,Technology,2025-08-01,299,1516696.6500000008,195.28792642140465,737665.22,779031.4300000002
GOOGL,ETF,2025-08-01,298,1097301.9099999997,146.48046979865785,539997.8399999999,557304.0700000003
JPM,Technology,2025-08-01,277,1517221.2199999983,202.93451263537892,809074.2399999999,708146.9800000001
NVDA,Technology,2025-08-01,309,4054717.67,520.4010032362459,1892746.38,2161971.2899999986
QQQ,Finance,2025-08-01,326,3429774.7299999995,428.2299386503066,1640390.5100000005,1789384.2199999997
SPY,Finance,2025-08-01,329,4211633.74,491.96984802431626,2183868.3399999994,2027765.4
TSLA,Finance,2025-08-01,300,1987743.4099999997,260.98336666666694,1027927.77,959815.6400000002
AAPL,Technology,2025-09-01,289,1390829.6199999999,194.15429065743945,648971.0800000001,741858.5400000003
GOOGL,ETF,2025-09-01,268,998895.6500000001,146.9224626865672,461432.71,537462.94
JPM,Technology,2025-09-01,281,1399085.6900000006,202.10879003558716,747640.1000000003,651445.5899999999
NVDA,Technology,2025-09-01,286,3473329.8400000003,519.2177272727273,1570322.2300000004,1903007.6099999985
QQQ,Finance,2025-09-01,276,2839112.6999999997,426.0428623188403,1536457.6900000002,1302655.01
SPY,Finance,2025-09-01,302,3774786.9700000016,496.3412251655629,2029893.92,1744893.0499999986
TSLA,Finance,2025-09-01,294,1984693.6299999997,264.63690476190476,974268.1,1010425.5299999996
AAPL,Technology,2025-10-01,315,1575295.2800000003,194.05879365079375,811729.0899999999,763566.1899999997
GOOGL,ETF,2025-10-01,304,1165279.8399999994,144.7746710526316,554531.1900000002,610748.6500000003
JPM,Technology,2025-10-01,311,1630412.980000001,206.3385209003215,797438.0799999993,832974.8999999998
NVDA,Technology,2025-10-01,302,4141827.8900000006,520.6309602649002,2056241.2700000003,2085586.62
QQQ,Finance,2025-10-01,302,3175114.440000001,428.91139072847704,1581383.5800000005,1593730.8599999999
SPY,Finance,2025-10-01,304,3981979.189999997,498.25835526315785,1954888.2700000005,2027090.9199999995
TSLA,Finance,2025-10-01,315,2198844.6799999997,260.4185396825396,1040660.5800000003,1158184.1000000003
AAPL,Technology,2025-11-01,294,1413146.139999999,195.29778911564634,780651.5500000003,632494.5900000003
GOOGL,ETF,2025-11-01,311,1100615.03,147.79935691318335,444995.2699999999,655619.7599999998
JPM,Technology,2025-11-01,263,1327509.1999999997,207.17448669201517,667355.3600000001,660153.8400000003
NVDA,Technology,2025-11-01,291,3910748.9900000007,517.9924054982816,2077592.25,1833156.7399999998
QQQ,Finance,2025-11-01,295,3237930.180000002,430.0834237288135,1720172.9900000005,1517757.190000001
SPY,Finance,2025-11-01,306,3852850.589999998,495.5377124183005,1915309.3199999996,1937541.2700000005
TSLA,Finance,2025-11-01,260,1800881.1900000006,263.89207692307696,940525.73,860355.46
AAPL,Technology,2025-12-01,302,1566222.5000000002,193.12473509933764,812316.4700000001,753906.0300000001
GOOGL,ETF,2025-12-01,310,1210175.8200000003,146.60719354838707,617374.6100000002,592801.2100000001
JPM,Technology,2025-12-01,315,1648710.0799999996,204.65180952380973,841259.3299999998,807450.7500000003
NVDA,Technology,2025-12-01,311,3919079.909999999,514.6876205787785,1932274.95,1986804.9600000002
QQQ,Finance,2025-12-01,311,3299011.789999998,432.59617363344046,1621978.6299999997,1677033.16
SPY,Finance,2025-12-01,303,3738761.88,493.3387788778876,1817988.5100000007,1920773.3700000006
TSLA,Finance,2025-12-01,327,2154158.5599999996,259.7740366972478,1185680.3399999999,968478.22
